            table_name            |        column_name        |          data_type          | is_nullable |             column_default             
----------------------------------+---------------------------+-----------------------------+-------------+----------------------------------------
 billing_codes                    | id                        | uuid                        | NO          | gen_random_uuid()
 billing_codes                    | code                      | character varying           | NO          | 
 billing_codes                    | description               | text                        | NO          | 
 billing_codes                    | rate                      | numeric                     | NO          | 
 billing_codes                    | active                    | boolean                     | NO          | true
 billing_codes                    | created_at                | timestamp with time zone    | NO          | now()
 billing_codes                    | updated_at                | timestamp with time zone    | NO          | now()
 change_log                       | id                        | uuid                        | NO          | uuid_generate_v4()
 change_log                       | change_date               | timestamp with time zone    | NO          | now()
 change_log                       | change_type               | text                        | NO          | 
 change_log                       | description               | text                        | NO          | 
 change_log                       | participant_id            | uuid                        | YES         | 
 change_log                       | billing_impact            | boolean                     | NO          | false
 change_log                       | billing_status            | text                        | NO          | 'NA'::text
 event_card_map                   | id                        | uuid                        | NO          | uuid_generate_v4()
 event_card_map                   | loom_instance_id          | uuid                        | NO          | 
 event_card_map                   | card_type                 | text                        | NO          | 
 event_card_map                   | card_order                | integer                     | NO          | 
 event_card_map                   | display_title             | text                        | NO          | 
 event_card_map                   | display_subtitle          | text                        | YES         | 
 event_card_map                   | display_time_start        | timestamp with time zone    | NO          | 
 event_card_map                   | display_time_end          | timestamp with time zone    | NO          | 
 event_card_map                   | card_color                | text                        | YES         | 
 event_card_map                   | card_icon                 | text                        | YES         | 
 event_card_map                   | created_at                | timestamp with time zone    | YES         | CURRENT_TIMESTAMP
 history_pinned_artifacts         | id                        | uuid                        | NO          | uuid_generate_v4()
 history_pinned_artifacts         | history_shift_id          | uuid                        | NO          | 
 history_pinned_artifacts         | artifact_type             | text                        | NO          | 
 history_pinned_artifacts         | title                     | text                        | NO          | 
 history_pinned_artifacts         | content                   | text                        | YES         | 
 history_pinned_artifacts         | severity                  | text                        | YES         | 
 history_pinned_artifacts         | created_by                | text                        | NO          | 
 history_pinned_artifacts         | created_at                | timestamp with time zone    | YES         | CURRENT_TIMESTAMP
 history_pinned_artifacts         | embedding                 | USER-DEFINED                | YES         | 
 history_ribbon_participants      | id                        | uuid                        | NO          | uuid_generate_v4()
 history_ribbon_participants      | history_shift_id          | uuid                        | NO          | 
 history_ribbon_participants      | participant_id            | uuid                        | NO          | 
 history_ribbon_participants      | participant_name          | text                        | NO          | 
 history_ribbon_participants      | attendance_status         | text                        | NO          | 
 history_ribbon_participants      | pickup_provided           | boolean                     | YES         | 
 history_ribbon_participants      | dropoff_provided          | boolean                     | YES         | 
 history_ribbon_participants      | notes                     | text                        | YES         | 
 history_ribbon_shifts            | id                        | uuid                        | NO          | uuid_generate_v4()
 history_ribbon_shifts            | original_loom_id          | uuid                        | NO          | 
 history_ribbon_shifts            | program_name              | text                        | NO          | 
 history_ribbon_shifts            | program_description       | text                        | YES         | 
 history_ribbon_shifts            | instance_date             | date                        | NO          | 
 history_ribbon_shifts            | start_time                | time without time zone      | NO          | 
 history_ribbon_shifts            | end_time                  | time without time zone      | NO          | 
 history_ribbon_shifts            | venue_name                | text                        | NO          | 
 history_ribbon_shifts            | venue_address             | text                        | YES         | 
 history_ribbon_shifts            | participant_count         | integer                     | NO          | 
